Año,Trimestre,Provincia,Accesos por cada 100 hogares,Accesos por cada 100 hab
2018,4,La Pampa,73.4940482831421,24.215175627605
2018,4,La Rioja,50.3479939174172,13.4028590482468
2018,4,Mendoza,37.7577838459117,10.5369339699976
2018,4,Misiones,34.4507488777944,9.38376401334208
2018,4,Neuquén,59.0691692663678,17.5833620329143
2018,4,Río Negro,51.8614034542606,15.9520334449713
2018,4,Salta,39.8016100697381,9.63988499012216
2018,4,San Juan,31.8962520702558,8.12506754829948
2018,4,San Luis,67.5504536976004,19.3325493092293
2018,4,Santa Cruz,23.6891941006561,7.04908001650705
2018,4,Santa Fe,65.5870688619156,20.6237364064387
2018,4,Santiago Del Estero,37.4007259512934,9.2821177795649
2018,4,Tierra Del Fuego,93.5925708620794,27.7487853158179
2018,4,Tucumán,41.7579696387777,10.3441204364396
2018,3,Buenos Aires,64.4405675975205,20.9590874010485
2018,3,Capital Federal,108.445914110219,45.3770920456075
2018,3,Catamarca,32.9159453741104,8.37304655008758
2018,3,Chaco,32.2831008330776,8.62858350951374
2018,3,Chubut,56.391745852269,17.2863082293932
2018,3,Córdoba,64.2421002602934,19.6691574967699
2018,3,Corrientes,34.2499388738322,9.01894817024788
2018,3,Entre Ríos,50.2220138583775,15.0162082107412
2018,3,Formosa,29.5765734288784,7.52794981031211
2018,3,Jujuy,23.2637001371955,5.9491656472258
2018,3,La Pampa,71.7502365184484,23.6405627895773
